Organizations-Enhanced 	Record Count	% of 1051
UNIVERSITY OF SOUTHERN CALIFORNIA	12	1.142
UNIVERSITY OF WASHINGTON	12	1.142
UNIVERSITY OF WASHINGTON SEATTLE	12	1.142
WESTERN NORWAY UNIVERSITY OF APPLIED SCIENCES	12	1.142
BAYLOR COLLEGE OF MEDICINE	11	1.047
FEINBERG SCHOOL OF MEDICINE	11	1.047
JOHNS HOPKINS UNIVERSITY	11	1.047
MCGILL UNIVERSITY	11	1.047
NEW YORK UNIVERSITY	11	1.047
RADBOUD UNIVERSITY NIJMEGEN	11	1.047
RALPH H JOHNSON VA MEDICAL CENTER	11	1.047
UNIVERSITY COLLEGE LONDON	11	1.047
UNIVERSITY OF ALBERTA	11	1.047
UNIVERSITY OF BERGEN	11	1.047
UNIVERSITY OF CALIFORNIA IRVINE	11	1.047
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	11	1.047
UNIVERSITY OF SOUTHAMPTON	11	1.047
UNIVERSITY OF SOUTHERN DENMARK	11	1.047
UNIVERSITY OF WESTERN AUSTRALIA	11	1.047
ALBERT EINSTEIN COLLEGE OF MEDICINE	10	0.951
DUKE UNIVERSITY	10	0.951
NARA MEDICAL UNIVERSITY	10	0.951
NATIONAL UNIVERSITY OF SINGAPORE	10	0.951
STATE UNIVERSITY SYSTEM OF FLORIDA	10	0.951
UNIVERSITY OF GRONINGEN	10	0.951
UNIVERSITY OF NEW SOUTH WALES SYDNEY	10	0.951
YESHIVA UNIVERSITY	10	0.951
DALHOUSIE UNIVERSITY	9	0.856
DIABET ACAD MERGENTHEIM FIDAM	9	0.856
HAUKELAND UNIVERSITY HOSPITAL	9	0.856
LOYOLA UNIV MARYLAND	9	0.856
MASSACHUSETTS GENERAL HOSPITAL	9	0.856
STATE UNIVERSITY OF NEW YORK SUNY UPSTATE MEDICAL CENTER	9	0.856
UNIVERSITY OF BRITISH COLUMBIA	9	0.856
UNIVERSITY OF HELSINKI	9	0.856
UNIVERSITY OF MANCHESTER	9	0.856
UNIVERSITY OF OXFORD	9	0.856
DIABET VICTORIA	8	0.761
EMORY UNIVERSITY	8	0.761
FINNISH INSTITUTE OF OCCUPATIONAL HEALTH	8	0.761
MAASTRICHT UNIVERSITY	8	0.761
MEDICAL UNIVERSITY OF WARSAW	8	0.761
OHIO STATE UNIVERSITY	8	0.761
OTTO FRIEDRICH UNIV BAMBERG	8	0.761
UNIVERSITY OF LEICESTER	8	0.761
UNIVERSITY OF MIAMI	8	0.761
UNIVERSITY OF QUEENSLAND	8	0.761
VETERANS HEALTH ADMINISTRATION VHA	8	0.761
ANN ROBERT H LURIE CHILDREN S HOSPITAL OF CHICAGO	7	0.666
ASSISTANCE PUBLIQUE HOPITAUX PARIS APHP	7	0.666
CHARLES DARWIN UNIVERSITY	7	0.666
DIABET CTR MERGENTHEIM	7	0.666
ELI LILLY	7	0.666
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE INSERM	7	0.666
UNIVERSITY OF ALABAMA SYSTEM	7	0.666
UNIVERSITY OF EDINBURGH	7	0.666
UNIVERSITY OF GOTHENBURG	7	0.666
UNIVERSITY OF MINNESOTA SYSTEM	7	0.666
UNIVERSITY OF MINNESOTA TWIN CITIES	7	0.666
UNIVERSITY OF OSLO	7	0.666
UNIVERSITY OF SHEFFIELD	7	0.666
BAKER HEART AND DIABETES INSTITUTE	6	0.571
CHINESE UNIVERSITY OF HONG KONG	6	0.571
CINCINNATI CHILDREN S HOSPITAL MEDICAL CENTER	6	0.571
CONSORZIO MARIO NEGRI SUD	6	0.571
DEUTSCHES DIABETES ZENTRUM DDZ	6	0.571
DIABET AUSTRALIA VIC	6	0.571
DOUGLAS MENTAL HLTH UNIV INST	6	0.571
GEORGETOWN UNIVERSITY	6	0.571
HAAGLANDEN MEDICAL CENTER	6	0.571
HEINRICH HEINE UNIVERSITY DUSSELDORF	6	0.571
INDIANA UNIVERSITY PURDUE UNIVERSITY INDIANAPOLIS	6	0.571
INDIANA UNIVERSITY SYSTEM	6	0.571
JOHANNES GUTENBERG UNIVERSITY OF MAINZ	6	0.571
KU LEUVEN	6	0.571
NATIONAL UNIVERSITY OF IRELAND NUI GALWAY	6	0.571
NETHERLANDS INSTITUTE FOR HEALTH SERVICES RESEARCH	6	0.571
SANOFI AVENTIS	6	0.571
ST VINCENT S HOSPITAL MELBOURNE	6	0.571
UNIVERSITY HEALTH NETWORK TORONTO	6	0.571
UNIVERSITY OF ATHENS	6	0.571
UNIVERSITY OF CINCINNATI	6	0.571
UNIVERSITY OF GLASGOW	6	0.571
UNIVERSITY OF LIVERPOOL	6	0.571
UNIVERSITY OF TEXAS SYSTEM	6	0.571
AARHUS UNIVERSITY	5	0.476
ATHENS MEDICAL SCHOOL	5	0.476
CITY UNIVERSITY OF NEW YORK CUNY SYSTEM	5	0.476
GEORGE WASHINGTON UNIVERSITY	5	0.476
KAOHSIUNG MEDICAL UNIVERSITY	5	0.476
KYOTO UNIVERSITY	5	0.476
MONASH UNIVERSITY	5	0.476
NEW YORK STATE PSYCHIATRY INSTITUTE	5	0.476
SORBONNE UNIVERSITE	5	0.476
TOHOKU UNIVERSITY	5	0.476
UNIVERSITY OF ALABAMA BIRMINGHAM	5	0.476
UNIVERSITY OF ANTWERP	5	0.476
UNIVERSITY OF CALIFORNIA LOS ANGELES	5	0.476
UNIVERSITY OF CONNECTICUT	5	0.476
UNIVERSITY OF FREIBURG	5	0.476
UNIVERSITY OF HAWAII SYSTEM	5	0.476
UNIVERSITY OF VIRGINIA	5	0.476
VRIJE UNIVERSITEIT BRUSSEL	5	0.476
WAKE FOREST UNIVERSITY	5	0.476
AUSTRALIAN NATIONAL UNIVERSITY	4	0.381
BAYSTATE MEDICAL CENTER	4	0.381
BELFAST CITY HOSPITAL	4	0.381
BRIGHAM YOUNG UNIVERSITY	4	0.381
CATHOLIC UNIVERSITY OF THE SACRED HEART	4	0.381
CHANG GUNG MEMORIAL HOSPITAL	4	0.381
CHANG GUNG UNIVERSITY	4	0.381
CHARLES H BEST DIABET CTR	4	0.381
CHILDRENS HOSPITAL OF PHILADELPHIA	4	0.381
CHILDRENS NATL MED CTR	4	0.381
COLUMBIA UNIVERSITY TEACHERS COLLEGE	4	0.381
ERASMUS UNIVERSITY ROTTERDAM	4	0.381
FINLAND NATIONAL INSTITUTE FOR HEALTH WELFARE	4	0.381
FRIEDRICH SCHILLER UNIVERSITY OF JENA	4	0.381
GERMAN CTR DIABET RES DZD	4	0.381
IRCCS MARIO NEGRI	4	0.381
KING S COLLEGE HOSPITAL NHS FOUNDATION TRUST	4	0.381
LA TROBE UNIVERSITY	4	0.381
LEUPHANA UNIVERSITY LUNEBURG	4	0.381
NATIONAL TAIWAN UNIVERSITY	4	0.381
NORWEGIAN CTR VIOLENCE TRAUMAT STRESS STUDIES	4	0.381
NORWEGIAN UNIVERSITY OF SCIENCE TECHNOLOGY NTNU	4	0.381
OHIO UNIVERSITY	4	0.381
PURDUE UNIVERSITY	4	0.381
PURDUE UNIVERSITY SYSTEM	4	0.381
QUEENS UNIVERSITY BELFAST	4	0.381
RUHR UNIVERSITY BOCHUM	4	0.381
RUPRECHT KARLS UNIVERSITY HEIDELBERG	4	0.381
SAN FRANCISCO GENERAL HOSPITAL MEDICAL CENTER	4	0.381
UNIVERSIDADE FEDERAL DO CEARA	4	0.381
UNIVERSITE LIBRE DE BRUXELLES	4	0.381
UNIVERSITI PUTRA MALAYSIA	4	0.381
UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST	4	0.381
UNIVERSITY OF ARIZONA	4	0.381
UNIVERSITY OF AUCKLAND	4	0.381
UNIVERSITY OF CAMBRIDGE	4	0.381
UNIVERSITY OF DELAWARE	4	0.381
UNIVERSITY OF HAMBURG	4	0.381
UNIVERSITY OF HAWAII MANOA	4	0.381
UNIVERSITY OF MONTREAL	4	0.381
UNIVERSITY OF MUNICH	4	0.381
UNIVERSITY OF NEWCASTLE	4	0.381
UNIVERSITY OF TOKYO	4	0.381
UNIVERSITY OF TURKU	4	0.381
UNIVERSITY OF WISCONSIN SYSTEM	4	0.381
UNIVERSITY SYSTEM OF GEORGIA	4	0.381
VUK VRHOVAC UNIV CLIN	4	0.381
WESTERN SYDNEY UNIVERSITY	4	0.381
YALE SCH NURSING	4	0.381
ASTRAZENECA	3	0.285
BHARTI HOSP	3	0.285
BLACK DOG INSTITUTE	3	0.285
BOSTON CHILDREN S HOSPITAL	3	0.285
BOSTON COLLEGE	3	0.285
BROWN UNIVERSITY	3	0.285
CALIFORNIA STATE UNIVERSITY SYSTEM	3	0.285
CAPITAL HLTH	3	0.285
CASE WESTERN RESERVE UNIVERSITY	3	0.285
CHARITE MEDICAL UNIVERSITY OF BERLIN	3	0.285
CHILDREN S HOSPITAL COLORADO	3	0.285
CHILDREN S HOSPITAL LOS ANGELES	3	0.285
CHUNG HO MEMORIAL HOSPITAL	3	0.285
CIBER CENTRO DE INVESTIGACION BIOMEDICA EN RED	3	0.285
CORNELL UNIVERSITY	3	0.285
CTR OUTCOMES RES CLIN EPIDEMIOL	3	0.285
DANDERYDS HOSPITAL	3	0.285
DIABET ACAD MERGENTHEIM	3	0.285
DIABET AUSTRALIA	3	0.285
EAST CAROLINA UNIVERSITY	3	0.285
EBERHARD KARLS UNIVERSITY OF TUBINGEN	3	0.285
ERASMUS UNIVERSITY MEDICAL CENTER	3	0.285
FREE UNIVERSITY OF BERLIN	3	0.285
G D ANNUNZIO UNIVERSITY OF CHIETI PESCARA	3	0.285
GENTOFTE HOSPITAL	3	0.285
GHENT UNIVERSITY	3	0.285
HUMAN SCIENCES RESEARCH COUNCIL SOUTH AFRICA	3	0.285
HUMBOLDT UNIVERSITY OF BERLIN	3	0.285
HUNTER MEDICAL RESEARCH INSTITUTE	3	0.285
IMPERIAL COLLEGE LONDON	3	0.285
INCENT PARTNERS	3	0.285
INDIAN HLTH SERV	3	0.285
IRAN UNIVERSITY OF MEDICAL SCIENCES	3	0.285
IRCCS CA GRANDA OSPEDALE MAGGIORE POLICLINICO	3	0.285
ISTANBUL UNIVERSITY	3	0.285
JAEB CENTER FOR HEALTH RESEARCH	3	0.285
KAROLINSKA UNIVERSITY HOSPITAL	3	0.285
KING S COLLEGE HOSPITAL	3	0.285
LEES ENDOCRINOL CLIN	3	0.285
LINKOPING UNIVERSITY	3	0.285
LITHUANIAN UNIVERSITY OF HEALTH SCIENCES	3	0.285
LOYOLA COLL	3	0.285
LUND UNIVERSITY	3	0.285
MAYO CLINIC	3	0.285
MCMASTER UNIVERSITY	3	0.285
NATIONAL CHENG KUNG UNIVERSITY	3	0.285
NATIONAL INSTITUTE OF MENTAL HEALTH NEUROSCIENCES INDIA	3	0.285
NATIONAL UNIVERSITY OF LA PLATA	3	0.285
NETHERLANDS NATIONAL INSTITUTE FOR PUBLIC HEALTH THE ENVIRONMENT	3	0.285
NIH EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH HUMAN DEVELOPMENT NICHD	3	0.285
NORTHEASTERN UNIVERSITY	3	0.285
OPEN UNIVERSITY UK	3	0.285
OREBRO UNIVERSITY	3	0.285
OREGON UNIVERSITY SYSTEM	3	0.285
PHILIPPS UNIVERSITY MARBURG	3	0.285
QUEEN MARY UNIVERSITY LONDON	3	0.285
RES INST DIABET ACAD MERGENTHEIM	3	0.285
RES INST DIABET ACAD MERGENTHEIM FIDAM	3	0.285
RIGSHOSPITALET	3	0.285
ROLLINS SCHOOL PUBLIC HEALTH	3	0.285
ROYAL PERTH HOSPITAL	3	0.285
RUSH UNIVERSITY	3	0.285
SAN DIEGO STATE UNIVERSITY	3	0.285
SAPIENZA UNIVERSITY ROME	3	0.285
SKANE UNIVERSITY HOSPITAL	3	0.285
ST ELIZABETH HOSP	3	0.285
ST VINCENTS HOSPITAL SYDNEY	3	0.285
TEHRAN UNIVERSITY OF MEDICAL SCIENCES	3	0.285
TRINITY COLLEGE DUBLIN	3	0.285
UIT THE ARCTIC UNIVERSITY OF TROMSO	3	0.285
ULM UNIVERSITY	3	0.285
UNIV AKUREYRI	3	0.285
UNIVERSIDADE ESTADUAL DE CAMPINAS	3	0.285
UNIVERSITA DELLA CAMPANIA VANVITELLI	3	0.285
UNIVERSITETET I STAVANGER	3	0.285
UNIVERSITY OF ADELAIDE	3	0.285
UNIVERSITY OF ARKANSAS MEDICAL SCIENCES	3	0.285
UNIVERSITY OF ARKANSAS SYSTEM	3	0.285
UNIVERSITY OF BARCELONA	3	0.285
UNIVERSITY OF BIRMINGHAM	3	0.285
UNIVERSITY OF BOLOGNA	3	0.285
UNIVERSITY OF BUENOS AIRES	3	0.285
UNIVERSITY OF CALGARY	3	0.285
UNIVERSITY OF COLORADO BOULDER	3	0.285
UNIVERSITY OF DUISBURG ESSEN	3	0.285
UNIVERSITY OF ERLANGEN NUREMBERG	3	0.285
UNIVERSITY OF FLORIDA	3	0.285
UNIVERSITY OF JORDAN	3	0.285
UNIVERSITY OF KANSAS	3	0.285
UNIVERSITY OF KANSAS MEDICAL CENTER	3	0.285
UNIVERSITY OF MANITOBA	3	0.285
UNIVERSITY OF MASSACHUSETTS SYSTEM	3	0.285
UNIVERSITY OF MASSACHUSETTS WORCESTER	3	0.285
UNIVERSITY OF MISSOURI SYSTEM	3	0.285
UNIVERSITY OF NAIROBI	3	0.285
UNIVERSITY OF NOTTINGHAM	3	0.285
UNIVERSITY OF PADUA	3	0.285
UNIVERSITY OF ROME TOR VERGATA	3	0.285
UNIVERSITY OF SASKATCHEWAN	3	0.285
UNIVERSITY OF SHARJAH	3	0.285
UNIVERSITY OF SOUTH FLORIDA	3	0.285
UNIVERSITY OF TECHNOLOGY SYDNEY	3	0.285
UNIVERSITY OF WARWICK	3	0.285
UNIVERSITY OF WISCONSIN MADISON	3	0.285
UTAH SYSTEM OF HIGHER EDUCATION	3	0.285
VA PALO ALTO HEALTH CARE SYSTEM	3	0.285
VIRGINIA COMMONWEALTH UNIVERSITY	3	0.285
WAKE FOREST UNIVERSITY SCHOOL OF MEDICINE	3	0.285
WASHINGTON UNIVERSITY WUSTL	3	0.285
WAYNE STATE UNIVERSITY	3	0.285
AFRICA MENTAL HLTH FDN	2	0.190
AICHI MEDICAL UNIVERSITY	2	0.190
AL FARABI COLLEGE FOR NURSING DENTISTRY	2	0.190
AMER ASSOC DIABET EDUC	2	0.190
AMSTERDAM PUBL HLTH RES INST	2	0.190
ASAHI LIFE FOUNDATION	2	0.190
ASSOC IMPROVEMENT MENTAL HLTH PROGRAMMES	2	0.190
AUSTRALIAN CATHOLIC UNIVERSITY	2	0.190
AUTONOMOUS UNIVERSITY OF BARCELONA	2	0.190
BC DIABET	2	0.190
BEN GURION UNIVERSITY	2	0.190
BOSTON UNIVERSITY	2	0.190
BRIDE	2	0.190
BURLINGTON PSYCHOL COUNSELLING SERV	2	0.190
CARNEGIE MELLON UNIVERSITY	2	0.190
CATHARINA HOSPITAL	2	0.190
CENTRAL ARKANSAS VETERANS HEALTHCARE SYSTEM	2	0.190
CENTRE FOR EYE RESEARCH AUSTRALIA	2	0.190
CHANG GUNG UNIVERSITY OF SCIENCE TECHNOLOGY	2	0.190
CHILDRENS NATL HLTH SYST	2	0.190
CIBERSAM	2	0.190
CITY UNIVERSITY LONDON	2	0.190
COLORADO SCHOOL OF PUBLIC HEALTH	2	0.190
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET	2	0.190
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	2	0.190
CTR CHILD ADOLESCENT MENTAL HLTH	2	0.190
CTR CHILD ADOLESCENT MENTAL HLTH EASTERN SOUT	2	0.190
CTR PSYCHOTHERAPY WIESBADEN	2	0.190
DEPT MED	2	0.190
DIABET CLIN MERGENTHEIM	2	0.190
DIABET CTR MERGENTHEIM DZM	2	0.190
DIABET EDUCATOR	2	0.190
DIABET ZENTRUM MERGENTHEIM	2	0.190
EAST LONDON NHS FDN TRUST	2	0.190
EMGO INST HLTH CARE RES	2	0.190
FDN MARIO NEGRI SUD	2	0.190
FLINDERS UNIVERSITY SOUTH AUSTRALIA	2	0.190
FLORIDA ATLANTIC UNIVERSITY	2	0.190
FLORIDA STATE UNIVERSITY	2	0.190
FUKUSHIMA MEDICAL UNIVERSITY	2	0.190
GEELONG HOSPITAL	2	0.190
GGZ INGEEST	2	0.190
GHENT UNIVERSITY HOSPITAL	2	0.190
GRANDVIEW MED CTR	2	0.190
GRASSROOTS DIABET	2	0.190
GRIFFITH UNIVERSITY	2	0.190
GULHANE MILITARY MEDICAL ACADEMY	2	0.190
GUY S ST THOMAS NHS FOUNDATION TRUST	2	0.190
HARTFORD HOSPITAL	2	0.190
HARVARD TH CHAN SCH PUBL HLTH	2	0.190
HELSINKI UNIVERSITY CENTRAL HOSPITAL	2	0.190
HISPAN HLTH COUNCIL	2	0.190
HLTH CLIN SEREMBAN 2	2	0.190
HOPITAL UNIVERSITAIRE AMBROISE PARE APHP	2	0.190
HOPITAL UNIVERSITAIRE ARMAND TROUSSEAU APHP	2	0.190
HOPITAL UNIVERSITAIRE COCHIN APHP	2	0.190
HOPITAL UNIVERSITAIRE PITIE SALPETRIERE APHP	2	0.190
HOSPITAL OF SANTA CREU I SANT PAU	2	0.190
HOSPITAL SANTA MARIA	2	0.190
INCENTIVE	2	0.190
INJE UNIVERSITY	2	0.190
INSTITUTE FOR HEALTH METRICS EVALUATION	2	0.190
INSTITUTE MEDICAL VETERINARY SCIENCE AUSTRALIA	2	0.190
INSTITUTO DE SALUD CARLOS III	2	0.190
INT MOOD CTR	2	0.190
INTERNATIONAL DIABETES CENTER	2	0.190
IRCCS POLICLINICO GEMELLI	2	0.190
JANSSEN SCI AFFAIRS LLC	2	0.190
JEROEN BOSCH ZIEKENHUIS	2	0.190
JILIN UNIVERSITY	2	0.190
JONKOPING UNIVERSITY	2	0.190
JUSTUS LIEBIG UNIVERSITY GIESSEN	2	0.190
KAGAWA UNIVERSITY	2	0.190
KANSAS STATE UNIVERSITY	2	0.190
KEELE UNIVERSITY	2	0.190
KENT STATE UNIVERSITY	2	0.190
LOMA LINDA UNIVERSITY	2	0.190
LOUISIANA STATE UNIVERSITY	2	0.190
LOUISIANA STATE UNIVERSITY SYSTEM	2	0.190
LOYOLA UNIV	2	0.190
LOYOLA UNIVERSITY CHICAGO	2	0.190
LUNENFELD TANENBAUM RESEARCH INSTITUTE	2	0.190
MACQUARIE UNIVERSITY	2	0.190
MADONNA DEL SOCCORSO HOSP	2	0.190
MANCHESTER METROPOLITAN UNIVERSITY	2	0.190
MATER HEALTH SERVICES	2	0.190
MAXIMA MEDICAL CENTER	2	0.190
MEANDER MEDISCH CENTRUM	2	0.190
MEDSTAR HEALTH RESEARCH INSTITUTE	2	0.190
MEHARRY MEDICAL COLLEGE	2	0.190
MERGENTHEIM DIABET ZENTRUM	2	0.190
MICHAEL E DEBAKEY VA MEDICAL CENTER	2	0.190
MID SWEDEN UNIVERSITY	2	0.190
MIDDLESEX UNIVERSITY	2	0.190
MINIST HLTH	2	0.190
MRC CSO SOCIAL AND PUBLIC HEALTH SCIENCES UNIT	2	0.190
MURDOCH CHILDREN S RESEARCH INSTITUTE	2	0.190
NANJING UNIVERSITY OF CHINESE MEDICINE	2	0.190
NATIONAL CENTER FOR NEUROLOGY PSYCHIATRY JAPAN	2	0.190
NATIONAL DEFENSE MEDICAL CENTER	2	0.190
NATIONAL TAIWAN UNIVERSITY HOSPITAL	2	0.190
NATIONAL YANG MING UNIVERSITY	2	0.190
NEWCASTLE UNIVERSITY UK	2	0.190
NIH NATIONAL CANCER INSTITUTE NCI	2	0.190
NIH NATIONAL INSTITUTE OF DIABETES DIGESTIVE KIDNEY DISEASES NIDDK	2	0.190
NORTHROP GRUMMAN CORPORATION	2	0.190
NORWEGIAN INSTITUTE OF PUBLIC HEALTH NIPH	2	0.190
OLVG	2	0.190
OREGON HEALTH SCIENCE UNIVERSITY	2	0.190
PEKING UNIVERSITY	2	0.190
PK NICOLLET MELROSE CTR	2	0.190
POLICLINICO SANT ORSOLA MALPIGHI	2	0.190
POZOB	2	0.190
PRINCE OF WALES HOSPITAL	2	0.190
PRINCE WALES HOSP	2	0.190
QUEENSLAND UNIVERSITY OF TECHNOLOGY QUT	2	0.190
QUINNIPIAC UNIVERSITY	2	0.190
RABIN MEDICAL CENTER	2	0.190
RADY CHILDRENS HOSPITAL SAN DIEGO	2	0.190
RAND CORPORATION	2	0.190
REBRO UNIV HOSP	2	0.190
RES FDN FLANDERS	2	0.190
ROYAL ADELAIDE HOSPITAL	2	0.190
ROYAL BOURNEMOUTH HOSP	2	0.190
ROYAL CHILDREN S HOSPITAL MELBOURNE	2	0.190
ROYAL INFIRM	2	0.190
ROYAL MELBOURNE HOSPITAL	2	0.190
ROYAL VICTORIAN EYE EAR HOSPITAL	2	0.190
RYERSON UNIVERSITY	2	0.190
SACKLER FACULTY OF MEDICINE	2	0.190
SCRIPPS WHITTIER DIABET INST	2	0.190
SEATTLE CHILDREN S HOSPITAL	2	0.190
SEMMELWEIS UNIVERSITY	2	0.190
SEOUL NATIONAL UNIVERSITY	2	0.190
SHANDONG UNIVERSITY	2	0.190
SINAI HEALTH SYSTEM TORONTO	2	0.190
SINGAPORE GENERAL HOSPITAL	2	0.190
SINGAPORE NATIONAL EYE CENTER	2	0.190
SODERSJUKHUSET HOSPITAL	2	0.190
SOPHIAHEMMET UNIV COLL	2	0.190
SOROKA MEDICAL CENTER	2	0.190
STATE UNIVERSITY OF NEW YORK SUNY STONY BROOK	2	0.190
STAVANGER UNIV HOSP	2	0.190
STAVANGER UNIVERSITY HOSPITAL	2	0.190
SUBST ABUSE MENTAL HLTH SERV ADM	2	0.190
SUMMA HEALTH SYSTEM	2	0.190
SUNNYBROOK HEALTH SCIENCE CENTER	2	0.190
SUNNYBROOK RESEARCH INSTITUTE	2	0.190
TEIKYO UNIVERSITY	2	0.190
TEL AVIV UNIVERSITY	2	0.190
THOMAS JEFFERSON UNIVERSITY	2	0.190
TOKYO WOMEN S MEDICAL UNIVERSITY	2	0.190
TORONTO GENERAL HOSPITAL	2	0.190
TRI SERVICE GENERAL HOSPITAL	2	0.190
TRIMBOS INSTITUTE	2	0.190
TUFTS UNIVERSITY	2	0.190
UCONN HLTH	2	0.190
UNIV BAMBERG	2	0.190
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO	2	0.190
UNIVERSIDAD REY JUAN CARLOS	2	0.190
UNIVERSIDADE DE LISBOA	2	0.190
UNIVERSIDADE FEDERAL DE MINAS GERAIS	2	0.190
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO	2	0.190
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL	2	0.190
UNIVERSITAT D ALACANT	2	0.190
UNIVERSITE DE VERSAILLES SAINT QUENTIN EN YVELINES	2	0.190
UNIVERSITE PARIS SACLAY	2	0.190
UNIVERSITE PARIS SACLAY COMUE	2	0.190
UNIVERSITE SORBONNE PARIS CITE USPC COMUE	2	0.190
UNIVERSITI KEBANGSAAN MALAYSIA	2	0.190
UNIVERSITY COLLEGE OF MEDICAL SCIENCES	2	0.190
UNIVERSITY OF ABERDEEN	2	0.190
UNIVERSITY OF ALABAMA TUSCALOOSA	2	0.190
UNIVERSITY OF BATH	2	0.190
UNIVERSITY OF BELGRADE	2	0.190
UNIVERSITY OF BRISTOL	2	0.190
UNIVERSITY OF CALIFORNIA BERKELEY	2	0.190
UNIVERSITY OF CALIFORNIA DAVIS	2	0.190
UNIVERSITY OF CATANIA	2	0.190
UNIVERSITY OF CHICAGO	2	0.190
UNIVERSITY OF COLOGNE	2	0.190
UNIVERSITY OF EASTERN FINLAND	2	0.190
UNIVERSITY OF GENEVA	2	0.190
UNIVERSITY OF ICELAND	2	0.190
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN	2	0.190
UNIVERSITY OF IOANNINA	2	0.190
UNIVERSITY OF IOWA	2	0.190
UNIVERSITY OF LIMPOPO	2	0.190
UNIVERSITY OF MARYLAND BALTIMORE	2	0.190
UNIVERSITY OF MISSOURI SAINT LOUIS	2	0.190
UNIVERSITY OF NEBRASKA LINCOLN	2	0.190
UNIVERSITY OF NEBRASKA SYSTEM	2	0.190
UNIVERSITY OF NEW MEXICO	2	0.190
UNIVERSITY OF OTAGO	2	0.190
UNIVERSITY OF OULU	2	0.190
UNIVERSITY OF PERUGIA	2	0.190
UNIVERSITY OF SAN FRANCISCO	2	0.190
UNIVERSITY OF SOUTH AUSTRALIA	2	0.190
UNIVERSITY OF TASMANIA	2	0.190
UNIVERSITY OF THE SUNSHINE COAST	2	0.190
UNIVERSITY OF THE WEST INDIES	2	0.190
UNIVERSITY OF TURIN	2	0.190
UNIVERSITY OF TWENTE	2	0.190
UNIVERSITY OF UTAH	2	0.190
UNIVERSITY OF VALENCIA	2	0.190
UNIVERSITY OF VERMONT	2	0.190
UNIVERSITY OF VERONA	2	0.190
UNIVERSITY SYSTEM OF MARYLAND	2	0.190
