Source Titles 	Record Count	% of 1051
AUSTRALIAN JOURNAL OF ADVANCED NURSING	2	0.190
AUSTRALIAN JOURNAL OF PRIMARY HEALTH	2	0.190
BMC WOMENS HEALTH	2	0.190
CANCER EPIDEMIOLOGY	2	0.190
COMPREHENSIVE PSYCHIATRY	2	0.190
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE	2	0.190
CURRENT PSYCHIATRY REPORTS	2	0.190
DEPRESSION AND ANXIETY	2	0.190
DIABETES NUTRITION METABOLISM	2	0.190
DISASTER MEDICINE AND PUBLIC HEALTH PREPAREDNESS	2	0.190
ENDOCRINE	2	0.190
ENDOCRINE PRACTICE	2	0.190
ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA	2	0.190
EPIDEMIOLOGY AND INFECTION	2	0.190
EUROPEAN JOURNAL OF CARDIOVASCULAR NURSING	2	0.190
EUROPEAN JOURNAL OF EPIDEMIOLOGY	2	0.190
FRONTIERS IN PSYCHIATRY	2	0.190
HEALTH EXPECTATIONS	2	0.190
IRANIAN JOURNAL OF PUBLIC HEALTH	2	0.190
JOURNAL OF CHILD HEALTH CARE	2	0.190
JOURNAL OF CLINICAL PSYCHIATRY	2	0.190
JOURNAL OF FAMILY NURSING	2	0.190
JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE	2	0.190
JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES	2	0.190
JOURNAL OF URBAN HEALTH BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE	2	0.190
LGBT HEALTH	2	0.190
METABOLISM CLINICAL AND EXPERIMENTAL	2	0.190
NURSING CLINICS OF NORTH AMERICA	2	0.190
OBESITY RESEARCH CLINICAL PRACTICE	2	0.190
PSYCHO ONCOLOGY	2	0.190
PUBLIC HEALTH NURSING	2	0.190
PUBLIC HEALTH NUTRITION	2	0.190
RESEARCH IN NURSING HEALTH	2	0.190
TRANSLATIONAL BEHAVIORAL MEDICINE	2	0.190
ACTA ENDOCRINOLOGICA BUCHAREST	1	0.095
ACTA PAULISTA DE ENFERMAGEM	1	0.095
ADDICTION	1	0.095
ADVANCES IN PSYCHOSOMATIC MEDICINE	1	0.095
AIDS PATIENT CARE AND STDS	1	0.095
AMERICAN JOURNAL OF CRITICAL CARE	1	0.095
AMERICAN JOURNAL OF INFECTION CONTROL	1	0.095
AMERICAN JOURNAL OF MEDICAL GENETICS PART B NEUROPSYCHIATRIC GENETICS	1	0.095
AMERICAN JOURNAL OF PUBLIC HEALTH	1	0.095
ANNALS OF EPIDEMIOLOGY	1	0.095
ANNALS OF THE NEW YORK ACADEMY OF SCIENCES	1	0.095
ANNUAL REVIEW OF PSYCHOLOGY	1	0.095
ANTIOXIDANTS REDOX SIGNALING	1	0.095
APPLIED NEUROPSYCHOLOGY	1	0.095
ARCHIVES OF ENDOCRINOLOGY METABOLISM	1	0.095
ARCHIVES OF WOMENS MENTAL HEALTH	1	0.095
ASIA PACIFIC JOURNAL OF PUBLIC HEALTH	1	0.095
ASIAN JOURNAL OF PSYCHIATRY	1	0.095
AUSTRALASIAN PSYCHIATRY	1	0.095
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY	1	0.095
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PUBLIC HEALTH	1	0.095
AUSTRALIAN JOURNAL OF RURAL HEALTH	1	0.095
BEST PRACTICE RESEARCH CLINICAL ENDOCRINOLOGY METABOLISM	1	0.095
BIOLOGICAL RESEARCH FOR NURSING	1	0.095
BIOLOGICAL TRACE ELEMENT RESEARCH	1	0.095
CADERNOS DE SAUDE PUBLICA	1	0.095
CANADIAN JOURNAL OF PSYCHIATRY REVUE CANADIENNE DE PSYCHIATRIE	1	0.095
CLINICAL JOURNAL OF ONCOLOGY NURSING	1	0.095
COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY	1	0.095
CURRENT OBESITY REPORTS	1	0.095
CURRENT OPINION IN ENDOCRINOLOGY DIABETES AND OBESITY	1	0.095
DIABETES	1	0.095
DIABETES VASCULAR DISEASE RESEARCH	1	0.095
DISABILITY AND HEALTH JOURNAL	1	0.095
DRUG SAFETY	1	0.095
EATING AND WEIGHT DISORDERS STUDIES ON ANOREXIA BULIMIA AND OBESITY	1	0.095
EATING DISORDERS	1	0.095
ENDOCRINE CONNECTIONS	1	0.095
ENDOCRINE METABOLIC IMMUNE DISORDERS DRUG TARGETS	1	0.095
ENDOCRINE RELATED CANCER	1	0.095
ENDOCRINE REVIEWS	1	0.095
ENDOCRINOLOGIST	1	0.095
ENDOCRINOLOGY	1	0.095
ENDOKRYNOLOGIA POLSKA	1	0.095
ENVIRONMENTAL HEALTH AND PREVENTIVE MEDICINE	1	0.095
EPIDEMIOLOGY	1	0.095
EPILEPSY BEHAVIOR	1	0.095
ETHNICITY HEALTH	1	0.095
EUROPEAN JOURNAL OF ENDOCRINOLOGY	1	0.095
EUROPEAN PSYCHIATRY	1	0.095
EXPERIMENTAL DIABETES RESEARCH	1	0.095
FRONTIERS IN ENDOCRINOLOGY	1	0.095
FRONTIERS IN PUBLIC HEALTH	1	0.095
HEALTH PLACE	1	0.095
INTERNATIONAL JOURNAL OF ENDOCRINOLOGY	1	0.095
INTERNATIONAL JOURNAL OF EPIDEMIOLOGY	1	0.095
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY	1	0.095
INTERNATIONAL JOURNAL OF NURSING PRACTICE	1	0.095
INTERNATIONAL JOURNAL OF OBESITY	1	0.095
INTERNATIONAL PSYCHOGERIATRICS	1	0.095
ISSUES IN MENTAL HEALTH NURSING	1	0.095
JANAC JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE	1	0.095
JNP JOURNAL FOR NURSE PRACTITIONERS	1	0.095
JOGNN JOURNAL OF OBSTETRIC GYNECOLOGIC AND NEONATAL NURSING	1	0.095
JOURNAL OF AGROMEDICINE	1	0.095
JOURNAL OF CANCER SURVIVORSHIP	1	0.095
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY	1	0.095
JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY	1	0.095
JOURNAL OF CLINICAL EPIDEMIOLOGY	1	0.095
JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY	1	0.095
JOURNAL OF CLINICAL RESEARCH IN PEDIATRIC ENDOCRINOLOGY	1	0.095
JOURNAL OF COMMUNITY HEALTH NURSING	1	0.095
JOURNAL OF EPIDEMIOLOGY	1	0.095
JOURNAL OF GENETIC COUNSELING	1	0.095
JOURNAL OF NERVOUS AND MENTAL DISEASE	1	0.095
JOURNAL OF NURSING SCHOLARSHIP	1	0.095
JOURNAL OF OCCUPATIONAL MEDICINE AND TOXICOLOGY	1	0.095
JOURNAL OF PEDIATRIC HEALTH CARE	1	0.095
JOURNAL OF PSYCHIATRIC AND MENTAL HEALTH NURSING	1	0.095
JOURNAL OF PSYCHIATRIC PRACTICE	1	0.095
JOURNAL OF PSYCHIATRY NEUROSCIENCE	1	0.095
JOURNAL OF PSYCHOPHARMACOLOGY	1	0.095
JOURNAL OF PUBLIC HEALTH MEDICINE	1	0.095
JOURNAL OF RURAL HEALTH	1	0.095
JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY	1	0.095
JOURNAL OF STUDIES ON ALCOHOL AND DRUGS	1	0.095
JOURNAL OF THE AMERICAN ASSOCIATION OF NURSE PRACTITIONERS	1	0.095
JOURNAL OF THE INTERNATIONAL NEUROPSYCHOLOGICAL SOCIETY	1	0.095
JOURNAL OF TRANSCULTURAL NURSING	1	0.095
LANCET DIABETES ENDOCRINOLOGY	1	0.095
LANCET PUBLIC HEALTH	1	0.095
MEDICC REVIEW	1	0.095
MIDWIFERY	1	0.095
MMWR SURVEILLANCE SUMMARIES	1	0.095
MOLECULAR PSYCHIATRY	1	0.095
NATURE REVIEWS ENDOCRINOLOGY	1	0.095
NEUROENDOCRINOLOGY LETTERS	1	0.095
NEUROEPIDEMIOLOGY	1	0.095
NEUROIMMUNOMODULATION	1	0.095
NUTRITION DIABETES	1	0.095
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES	1	0.095
OBESITY	1	0.095
OBESITY AND METABOLISM MILAN	1	0.095
OBESITY RESEARCH	1	0.095
ONCOLOGY NURSING FORUM	1	0.095
PAEDIATRIC AND PERINATAL EPIDEMIOLOGY	1	0.095
PALLIATIVE MEDICINE	1	0.095
PERSPECTIVES IN PSYCHIATRIC CARE	1	0.095
PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS	1	0.095
PSYCHIATRY AND CLINICAL NEUROSCIENCES	1	0.095
REVISTA LATINO AMERICANA DE ENFERMAGEM	1	0.095
SCANDINAVIAN JOURNAL OF PUBLIC HEALTH	1	0.095
SEXUAL DYSFUNCTION THE BRAIN BODY CONNECTION	1	0.095
STRESS OBESITY AND METABOLIC SYNDROME	1	0.095
STRESS THE INTERNATIONAL JOURNAL ON THE BIOLOGY OF STRESS	1	0.095
TRAFFIC INJURY PREVENTION	1	0.095

